target_pheno_group	phenotype	var.label	name_fixEffect_pThre	sex.group	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S4	females	0.0643556	0.528180982177016	0.000311434061678748	0.101995	0.104017	0.326485820983741	0.000803814276285969	0.105965	-0.112573	0.263612460267579	0.000949733328809068	0.100654	0.0480585	0.654954119807082	0.000176891076784476	0.107513	-0.214349	0.0467675707332939	0.00344714105445452	0.107689	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S4	males	0.282343	0.0160373619103652	0.00599442419256997	0.117008	-0.0997151	0.396146838870429	0.000738701406041574	0.117455	-0.127175	0.293602252015853	0.00121209508909173	0.121013	0.0127062	0.917763973367501	1.23650784652701e-05	0.123024	-0.135646	0.25356750303641	0.0013804799853057	0.118725	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S5	allSexes	0.183656	0.0231425623664694	0.00252924408837036	0.0808066	0.0742099	0.35368402064193	0.000410814335869277	0.0799953	-0.147878	0.0615516205584924	0.001635632034504	0.0790563	-0.0971489	0.242279950130944	0.000731178590639235	0.0830584	-0.21382	0.00823162898482963	0.00338927893925359	0.0808393	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S5	females	0.152743	0.148570075520467	0.00174945644113972	0.105666	0.165447	0.116825817670171	0.00204192455139164	0.105423	-0.113113	0.268169385939394	0.000956981436028594	0.102106	-0.0491666	0.657459357963948	0.000187278552893141	0.110852	-0.176093	0.099906112492529	0.00229876643500893	0.106945	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S5	males	0.205597	0.0932009622035779	0.00316966998793941	0.122329	-0.0230652	0.848516448129493	3.96859103714489e-05	0.120715	-0.228769	0.0637056317077334	0.00391446864642106	0.123211	-0.132022	0.275241308679938	0.0013503312133424	0.120922	-0.271917	0.0245038274156093	0.00548129760768339	0.120677	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S6	allSexes	0.192219	0.0179051669211317	0.00279857295968924	0.0811226	0.04398	0.579305031283707	0.000144404688933008	0.0793163	-0.169838	0.0303115820500867	0.00213420557448337	0.0783565	-0.0819799	0.330101271444939	0.000523332318300867	0.084156	-0.167732	0.0370453414200295	0.00208242395704244	0.0803842	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S6	females	0.215429	0.0427305030399057	0.00351521859947197	0.106202	0.0994617	0.336982305556696	0.000738554589293642	0.103549	-0.202956	0.0439091729293224	0.00304768660196795	0.100619	-0.0255269	0.818073600608861	5.07409905372477e-05	0.110951	-0.148535	0.163621662257113	0.00163303277704269	0.106565	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S6	males	0.160596	0.191082108594644	0.00195350017519136	0.122737	-0.00635144	0.958186203095884	3.0117245208455e-06	0.121105	-0.138803	0.258600380156753	0.00142549015278675	0.122782	-0.131929	0.288561493210827	0.00135532462161456	0.124231	-0.201024	0.0940950271146021	0.00299111507265088	0.119935	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q4	Age at starting regular smoking	S7	allSexes	0.144632	0.0774319546111355	0.00158663657333705	0.0818668	0.0304307	0.70347517022995	6.96884183055126e-05	0.0799363	-0.0988108	0.214059331510708	0.000718971747403669	0.0795023	-0.0513028	0.540963880531621	0.000205243450588529	0.0839023	-0.17463	0.0301236196526168	0.00226169258490405	0.0804756	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q4	Age at starting regular smoking	S7	females	0.156035	0.149812739965996	0.00184668460209565	0.108274	0.0574818	0.582841769751724	0.000248655139968876	0.104629	-0.132574	0.189795169919594	0.0012942545894474	0.101053	0.01879	0.864710868632349	2.7532188251671e-05	0.110259	-0.163089	0.12436199171566	0.0019726280565677	0.106054	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q4	Age at starting regular smoking	S7	males	0.128056	0.296440064776304	0.00124379424004128	0.12257	0.00678532	0.955219682505861	3.46479377610611e-06	0.120799	-0.0754699	0.554406990093091	0.000419421358773869	0.12761	-0.128969	0.298255659129616	0.00129705333596039	0.123909	-0.195913	0.104808353977569	0.00284657333051174	0.120654	0.000714285714285714
