target.phenotype	p.value.threshold	Freq_ai_allSexes	Freq_cpd_allSexes	Freq_dpw_allSexes	Freq_sc_allSexes	Freq_si_allSexes	Freq_ai_females	Freq_cpd_females	Freq_dpw_females	Freq_sc_females	Freq_si_females	Freq_ai_males	Freq_cpd_males	Freq_dpw_males	Freq_sc_males	Freq_si_males
SU_DSM4cannabisAbuse_ori	S2	0.00834971295779793	0.0458215461359913	0.0180008223158288	-0.00885409161267329	0.0446649705906869	-0.0303176018205548	0.0156594578026637	0.0188998251588651	0.054543870049973	0.0613062190714969	0.0431375118058417	0.0878069110687107	0.0206481214444908	-0.0748382219169494	0.0310769681567083
SU_DSM4cannabisDepend_ori	S2	0.0226413689169189	0.0327180074309874	-0.0172768270664683	0.000441435497654472	0.0241611491653151	-0.0111518715548504	0.0126091923223148	-0.023518923774197	0.030706882962986	0.0470243939190495	0.0556390030468469	0.0605808325045915	-0.0131418055358322	-0.0327227783643716	0.00278901874373866
SU_DSM5alcoholUD_ori	S2	-0.000776430633288912	-0.0260833980596727	0.0468428133621395	-0.0191383769698439	0.0549039762363009	-0.00652916015346555	-0.0249489203228567	0.0295012127458777	0.00682943743701587	0.0624908838448294	5.1839166121351e-05	-0.0163003528985051	0.0695417864594439	-0.058102872552353	0.0456498790947122
SU_DSM5alcoholUD_0or1vs2or3	S2	0.000343850706676149	-0.0301922185336429	0.0572493694447029	-0.0109238179897863	0.0301588965889395	-0.00866636689056181	-0.0189952603944431	0.0572157051247813	0.0250440321663228	0.0572311790354914	0.00547412581558594	-0.0348960845819993	0.0611375017383815	-0.0574138529746295	-0.000226623310025245
SU_DSM5cannabisUD_ori	S2	0.0150775058479125	0.0480175127460911	0.0101259013746586	0.0127504955000224	0.0436458298623314	-0.00227911967508213	0.0219550158459093	0.0108862663469779	0.066668131013923	0.0610028712527676	0.0305817573821929	0.0876605362109606	0.0123027558769757	-0.0465918070135556	0.0266235949704609
SU_DSM5cannabisUD_0or1vs2or3	S2	0.0157822909425415	0.0372960751523308	0.00690812754541861	-0.00629338246007422	0.0238475178764626	-0.00772093249327823	0.00770873475720481	0.0014108285641432	0.0431746096784729	0.0383851068249577	0.035816519419338	0.0763298190780404	0.0120443422615469	-0.0568192337730039	0.0117786992387469
SU_cannabis_ever	S2	0.0169471289817936	-0.00259126248833865	-0.00011266358695014	0.00738917749087609	0.0676049496632142	-0.0195193119866869	0.0174123087836549	0.00510465141495689	0.00805041920590344	0.0787200045131187	0.0673515579239011	-0.00947548624986305	-0.00045473239068379	0.000937885701755383	0.0455869190442378
SU_cannabis_onset	S2	0.0381794898990251	-0.0265820491405809	0.009569586685741	0.0225162344973289	-0.0730927462125823	0.0436715550358664	-0.0186764252312181	0.0439904433788774	0.0727924476915374	-0.0559268474988328	0.0287689203934772	-0.0342193564779284	-0.015947794017582	-0.00127881783993961	-0.0797227504921851
SU_cannabis_abuse_onset	S2	0.00592045103683564	0.0114140971435293	0.0551216513626161	0.0222139398040044	-0.134119896179867	-0.01053937868647	0.108281001274095	0.0195174142136185	0.0757666266568248	-0.0708880689450334	-0.00761067811705642	-0.0530496272203658	0.0822428312769522	-0.00277515326167888	-0.16579419257772
SU_cannabis_dependence_onset	S2	0.0278420881690435	0.0571950770109834	0.0344437677445312	-0.0166330845591393	-0.0729577230240999	-0.000160694455232138	0.145614033718356	0.145292649056847	0.00155340027134608	0.151747124342138	0.015873349050172	0.00765728274071873	-0.04870896734999	-0.0256007495823109	-0.231799697073711
SU_cannabis_use_disorder_onset	S2	0.0237008293580886	0.0142872002235979	0.115453589361908	0.032183608871135	-0.118305104389617	0.016886304343063	0.133704642070309	0.157530009777288	0.0497028016560305	-0.0467891138358842	0.0200891549092164	-0.0716659241404901	0.0832811055426747	0.0257006122122364	-0.171306377056556
SU_DSM4alcoholAbuse_ori	S3	-0.0190852238139411	-0.0387491783379862	0.0119009566711502	-0.0338520171175412	0.0561816611575193	-0.00767479679222283	-3.08472539880339e-05	0.0258191516484955	-0.0429188127153511	0.0520166962191764	-0.0374889997001257	-0.0698327511288699	-0.00485002912476668	-0.0283333716285466	0.0726009100349335
SU_DSM4alcoholDepend_ori	S3	-0.00552750222842298	-0.0369056751842671	0.0294386234307042	-0.00421092055598071	0.0414705386011879	-0.0203215472759093	-0.0139264526303775	0.0348127962465564	0.00841413008994867	0.0596438191509422	0.00814131561264152	-0.0472762111251461	0.0245771859702165	-0.0261370808181908	0.0309700046616025
SU_DSM4cannabisAbuse_ori	S3	0.0031850758268407	0.0180637445435501	0.0257702497782509	-0.0174305247069054	0.0282262238765585	0.0263783973390849	-0.0109553618051215	0.0186460188824387	-0.0103504005375584	0.0503334728780057	-0.0234224930222913	0.0668144826519984	0.0351287497737139	-0.031007109424908	0.0182030793662801
SU_DSM4cannabisDepend_ori	S3	-0.0243682742782849	-0.00139809478301552	-0.000271851763817196	-0.0191254188233232	0.0173415534547335	-0.0144073020332366	-0.00633598436755785	0.0128378791838866	-0.0109635398292137	0.0514367139174979	-0.0371569266287728	0.0160914811965492	-0.012158579284117	-0.0328898565351192	-0.0082128246682068
SU_DSM5alcoholUD_ori	S3	-0.0396419101640129	-0.023196665953383	0.0372379446450842	-0.0183575685288057	0.0731411311828743	-0.0366213806405327	0.0075123283324879	0.0397277626585742	-0.00687517335238448	0.06899708107755	-0.0528903030387568	-0.0392350198211381	0.0369161997548165	-0.0464409028534723	0.0928312880437095
SU_DSM5alcoholUD_0or1vs2or3	S3	-0.0153414128729032	-0.0297795972872931	0.0586304433046595	-0.0220567815309389	0.0448048093409521	-0.00361245975883276	-0.000150334922644203	0.05930049469906	-0.000886533882063608	0.042703961311739	-0.0340716420091871	-0.0469344683273344	0.0607819340479076	-0.0553117160873914	0.0601020639203345
SU_DSM5cannabisUD_ori	S3	-0.00927386057272974	0.00694687870213647	0.0261601279840592	-0.017416079421511	0.0262093136469205	0.0179866432813693	-0.0238786854625182	0.0227695388556566	0.00484655962381311	0.058135062102358	-0.0406592757534967	0.0572613718664736	0.0302633232984098	-0.0465234148718847	0.00381762918760422
SU_DSM5cannabisUD_0or1vs2or3	S3	-0.0180309940201304	2.52792421657591e-05	0.0108677760364645	-0.0119203117404556	0.0210300313890152	0.00541969568668086	-0.0204712436477405	0.0245939529524128	0.00576122189649421	0.0499156819379981	-0.0441644695774003	0.0366699614305315	-0.000395637686323738	-0.0353474011693193	0.00382072964350174
SU_cannabis_ever	S3	-0.0235787400491045	-0.0293440075855306	0.0223918874784867	-0.00814674264811277	0.0870938071600012	-0.043563916824049	-0.0161815422158403	0.0212112521721553	-0.0160086008670269	0.11222450081418	0.0106691577865275	-0.0184564492982711	0.0233618746806699	-0.00247260715883829	0.0599053030965441
SU_cannabis_onset	S3	-0.0107756561960947	-0.0580320257549658	0.0915750090713181	-0.0112446267818669	-0.0575539003932371	0.0613176003290952	-0.0521606969870552	0.106092555162126	0.0701789866400388	-0.0454094187380527	-0.0731568918124441	-0.0555605073376711	0.0827863637046592	-0.0742238377652493	-0.0513160809129937
